abstracts,annotated_labels,Negative Class Confidence Scores,Postive Class Confidence Scores
"CONTEXT: Screening mammography differs between the United States and the United Kingdom; a direct comparison may suggest methods to improve the practice. OBJECTIVE: To compare screening mammography performance between the United States and the United Kingdom among similar-aged women. DESIGN, SETTING, AND PARTICIPANTS: Women aged 50 years or older were identified who underwent 5.5 million mammograms from January 1, 1996, to December 31, 1999, within 3 large-scale mammography registries or screening programs: the Breast Cancer Surveillance Consortium (BCSC, n = 978 591) and National Breast and Cervical Cancer Early Detection Program (NBCCEDP, n = 613 388) in the United States; and the National Health Service Breast Screening Program (NHSBSP, n = 3.94 million) in the United Kingdom. A total of 27 612 women were diagnosed with breast cancer (invasive or ductal carcinoma in situ) within 12 months of screening among the 3 groups. MAIN OUTCOME MEASURES: Recall rates (recommendation for further evaluation including diagnostic imaging, ultrasound, clinical examination, or biopsy) and cancer detection rates were calculated for first and subsequent mammograms, and within 5-year age groups. RESULTS: Recall rates were approximately twice as high in the United States than in the United Kingdom for all age groups; however, cancer rates were similar. Among women aged 50 to 54 years who underwent a first screening mammogram, 14.4% in the BCSC and 12.5% in the NBCCEDP were recalled for further evaluation vs only 7.6% in the NHSBSP. Cancer detection rates per 1000 mammogram screens were 5.8, 5.9, and 6.3, in the BCSC, NBCCEDP, and NHSBSP, respectively. Recall rates were lower for subsequent examinations in all 3 settings but remained twice as high in the United States. A similar percentage of women underwent biopsy in each setting, but rates of percutaneous biopsy were lower and open surgical biopsy higher in the United States. Open surgical biopsies not resulting in a diagnosis of cancer (negative biopsies) were twice as high in the United States than in the United Kingdom. Based on a 10-year period of screening 1000 women aged 50 to 59 years, 477, 433, and 175 women in the BCSC, NBCCEDP, and NHSBSP, respectively, would be recalled; and for women aged 60 to 69 years, 396, 334, and 133 women, respectively. The estimated cancer detection rates per 1000 women aged 50 to 59 years were 24.5, 23.8, and 19.4, respectively, and for women aged 60 to 69 years, 31.5, 26.6, and 27.9, respectively. CONCLUSIONS: Recall and negative open surgical biopsy rates are twice as high in US settings than in the United Kingdom but cancer detection rates are similar. Efforts to improve US mammographic screening should target lowering the recall rate without reducing the cancer detection rate",1,0.16241739690303802,0.14925406873226166
"BACKGROUND: Unlike other malignancies, there is no literature supporting the accuracy of medical claims data for identifying surgical treatments among patients with kidney cancer. We sought to validate externally a previously published Medicare-claims-based algorithm for classifying surgical treatments among patients with early-stage kidney cancer. To achieve this aim, we compared procedure assignments based on Medicare claims with the type of surgery specified in SEER registry data and clinical operative reports. METHODS: Using linked SEER-Medicare data, we calculated the agreement between Medicare claims and SEER data for identification of cancer-directed surgery among 6,515 patients diagnosed with early-stage kidney cancer. Next, for a subset of 120 cases, we determined the agreement between the claims algorithm and the medical record. Finally, using the medical record as the reference-standard, we calculated the sensitivity, specificity, and positive and negative predictive values of the claims algorithm. RESULTS: Among 6,515 cases, Medicare claims and SEER data identified 5,483 (84.1%) and 5,774 (88.6%) patients, respectively, who underwent cancer-directed surgery (observed agreement = 93%, kappa = 0.69, 95% CI 0.66 - 0.71). The two data sources demonstrated 97% agreement for classification of partial versus radical nephrectomy (kappa = 0.83, 95% CI 0.81 - 0.86). We observed 97% agreement between the claims algorithm and clinical operative reports; the positive predictive value of the claims algorithm exceeded 90% for identification of both partial nephrectomy and laparoscopic surgery. CONCLUSION: Medicare claims represent an accurate data source for ascertainment of population-based patterns of surgical care among patients with early-stage kidney cancer",1,-0.02128680981695652,0.2890937924385071
"BACKGROUND: Epidemiological studies have linked adult height with breast cancer risk in women. However, the magnitude of the association, particularly by subtypes of breast cancer, has not been established. Furthermore, the mechanisms of the association remain unclear. METHODS: We performed a meta-analysis to investigate associations between height and breast cancer risk using data from 159 prospective cohorts totaling 5216302 women, including 113178 events. In a consortium with individual-level data from 46325 case patients and 42482 control patients, we conducted a Mendelian randomization analysis using a genetic score that comprised 168 height-associated variants as an instrument. This association was further evaluated in a second consortium using summary statistics data from 16003 case patients and 41335 control patients. RESULTS: The pooled relative risk of breast cancer was 1.17 (95% confidence interval [CI] = 1.15 to 1.19) per 10cm increase in height in the meta-analysis of prospective studies. In Mendelian randomization analysis, the odds ratio of breast cancer per 10cm increase in genetically predicted height was 1.22 (95% CI = 1.13 to 1.32) in the first consortium and 1.21 (95% CI = 1.05 to 1.39) in the second consortium. The association was found in both premenopausal and postmenopausal women but restricted to hormone receptor-positive breast cancer. Analyses of height-associated variants identified eight new loci associated with breast cancer risk after adjusting for multiple comparisons, including three loci at 1q21.2, DNAJC27, and CCDC91 at genome-wide significance level P < 5x10(-8). CONCLUSIONS: Our study provides strong evidence that adult height is a risk factor for breast cancer in women and certain genetic factors and biological pathways affecting adult height have an important role in the etiology of breast cancer.",1,-1.8377090692520142,1.4611320495605469
"BACKGROUND: Opioids may alter immune function, thereby potentially affecting cancer recurrence. The authors investigated the association between postdiagnosis opioid use and breast cancer recurrence. METHODS: Patients with incident, early stage breast cancer who were diagnosed during 1996 through 2008 in Denmark were identified from the Danish Breast Cancer Cooperative Group Registry. Opioid prescriptions were ascertained from the Danish National Prescription Registry. Follow-up began on the date of primary surgery for breast cancer and continued until breast cancer recurrence, death, emigration, 10 years, or July 31, 2013, whichever occurred first. Cox regression models were used to compute hazard ratios and 95% confidence intervals associating breast cancer recurrence with opioid prescription use overall and by opioid type and strength, immunosuppressive effect, chronic use (>/=6 months of continuous exposure), and cumulative morphine-equivalent dose, adjusting for confounders. RESULTS: In total, 34,188 patients were identified who, together, contributed 283,666 person-years of follow-up. There was no association between ever-use of opioids and breast cancer recurrence (crude hazard ratio, 0.98; 95% confidence interval, 0.90-1.1; adjusted hazard ratio, 1.0; 95% confidence interval, 0.92-1.1), regardless of opioid type, strength, chronicity of use, or cumulative dose. Breast cancer recurrence rates were lower among users of strongly (but not weakly) immunosuppressive opioids, possibly because of channeling bias among those with a high competing risk, because mortality was higher among users of this drug type. CONCLUSIONS: This large, prospective cohort study provided no clinically relevant evidence of an association between opioid prescriptions and breast cancer recurrence. The current findings are important to cancer survivorship, because opioids are frequently used to manage pain associated with comorbid conditions.",1,-0.4163476824760437,0.6235746145248413
"INTRODUCTION: There is increasing concern regarding the financial burden of cancer on patients and their families. This study presents nationally representative estimates of annual out-of-pocket (OOP) burden among non-elderly cancer survivors and assesses the association between high OOP burden and access to care and preventive service utilization. METHODS: Using the 2008-2012 Medical Expenditure Panel Survey, 4,271 cancer survivors and 96,780 individuals without a history of cancer were identified, all aged 18-64 years. High annual OOP burden was defined as spending >20% of annual family income on OOP healthcare costs. Associations between high OOP burden and access to care were evaluated with multivariable logistic regression. Analyses were conducted in 2015. RESULTS: Compared with individuals without a cancer history, cancer survivors were more likely to report a high OOP burden (4.3% vs 3.4%, p=0.009) in adjusted analyses. High OOP burden was more common among cancer survivors who were poor (18.4%), with either public insurance (7.9%) or uninsured (5.7%), and not working (10.2%). Among cancer survivors, high OOP burden was associated with being unable to obtain necessary medical care (19.2% vs 12.5%, p=0.002), delaying necessary medical care (21.6% vs 13.8%, p=0.002), and lower breast cancer screening rates among age-appropriate women (63.2% vs 75.9%, p=0.02). CONCLUSIONS: High OOP burden is more common among adults with a cancer history than those without a cancer history. High OOP burden was associated with being unable to obtain necessary medical care, delaying necessary medical care, and lower breast cancer screening rates among women.",1,-0.8133445382118225,1.134511947631836
"BACKGROUND: Few national data exist to assess primary care physicians' (PCPs') clinical practices with regard to childhood obesity. PURPOSE: To survey pediatricians and family practice physicians regarding their assessment, counseling, and management of diet, physical activity, and weight status among pediatric patients in the primary care setting. METHODS: A nationally representative cross-sectional survey of pediatricians and family practice physicians sampled from the American Medical Association (AMA) Masterfile was conducted in 2008 and analyzed in 2010. Outcomes included physicians' self-reported practice behaviors regarding assessments of pediatric patients' weight status, counseling of diet and physical activity, and referrals and follow-ups. RESULTS: Response rate excluding physicians listed as 'no-contact' by the AMA was 73.7% among pediatricians and 66.9% among family physicians. Less than 50% of all PCPs assessed BMI percentiles regularly in children. Eighteen percent of all PCPs reported referring children for further evaluation or management. Fifty-eight percent of all PCPs reported never, rarely, or only sometimes tracking patients over time concerning weight or weight-related behaviors. Pediatricians were more likely than family physicians to assess weight status and provide behavioral counseling (p's<0.001). CONCLUSIONS: Active PCP participation in assessing or managing childhood obesity in the primary care setting appears low relative to the frequency of the problem in the U.S. Interventions to reduce the barriers to physician engagement in the assessment and management of healthy lifestyles are needed to prevent and control childhood obesity",1,-0.7694069147109985,1.0560461282730103
"The study's purpose was to examine age, gender, and education as potential moderators of the associations of perceived neighborhood environment variables with accelerometer-based moderate-to-vigorous physical activity (MVPA). Data were from 7273 adults from 16 sites (11 countries) that were part of a coordinated multi-country cross-sectional study. Age moderated the associations of perceived crime safety, and perceiving no major physical barriers to walking, with MVPA: positive associations were only found in older adults. Perceived land use mix-access was linearly (positive) associated with MVPA in men, and curvilinearly in women. Perceived crime safety was related to MVPA only in women. No moderating relationships were found for education. Overall the associations of adults' perceptions of environmental attributes with MVPA were largely independent of the socio-demographic factors examined. These findings are encouraging, suggesting that efforts to optimize the perceived built and social environment may act in a socially-equitable manner to facilitate MVPA.",1,0.9734562039375305,-0.9356254935264587
"BACKGROUND: Hereditary predisposition is rarely suspected for childhood acute lymphoblastic leukaemia (ALL). Recent reports of germline ETV6 variations associated with substantial familial clustering of haematological malignancies indicated that this gene is a potentially important genetic determinant for ALL susceptibility. Our aims in this study were to comprehensively identify ALL predisposition variants in ETV6 and to determine the extent to which they contributed to the overall risk of childhood ALL. METHODS: Whole-exome sequencing of an index family with several cases of ALL was done to identify causal variants for ALL predisposition. Targeted sequencing of ETV6 was done in children from the Children's Oncology Group and St Jude Children's Research Hospital front-line ALL trials. Patients were included in this study on the basis of their enrolment in these clinical trials and the availability of germline DNA. ETV6 variant genotypes were compared with non-ALL controls to define ALL-related germline risk variants. ETV6 variant function was characterised bioinformatically and correlated with clinical and demographic features in children with ALL. FINDINGS: We identified a novel non-sense ETV6 variant (p.Arg359X) with a high penetrance in an index family. Subsequent targeted sequencing of ETV6 in 4405 childhood ALL cases identified 31 exonic variants (four non-sense, 21 missense, one splice site, and five frameshift variants) that were potentially related to ALL risk in 35 cases (1%). 15 (48%) of 31 ALL-related ETV6 variants clustered in the erythroblast transformation specific domain and were predicted to be highly deleterious. Children with ALL-related ETV6 variants were significantly older at leukaemia diagnosis than those without (10.2 years [IQR 5.3-13.8] vs 4.7 years [3.0-8.7]; p=0.017). The hyperdiploid leukaemia karyotype was highly over-represented in ALL cases harbouring germline ETV6 risk variants compared with the wild-type group (nine [64%] of 14 cases vs 538 [27%] of 2007 cases; p=0.0050). INTERPRETATION: Our findings indicated germline ETV6 variations as the basis of a novel genetic syndrome associated with predisposition to childhood ALL. The development of recommendations for clinical interventions and surveillance for individuals harbouring ALL-related ETV6 variants are needed. FUNDING: US National Institutes of Health and American Lebanese Syrian Associated Charities.",1,-1.6607952117919922,1.4958715438842773
"Colorectal cancer (CRC) is a complex disease that develops as a consequence of both genetic and environmental risk factors. A small proportion (3-5%) of cases arise from hereditary syndromes predisposing to early onset CRC as a result of mutations in over a dozen well defined genes. In contrast, CRC is predominantly a late onset 'sporadic' disease, developing in individuals with no obvious hereditary syndrome. In recent years, genome wide association studies have discovered that over 40 genetic regions are associated with weak effects on sporadic CRC, and it has been estimated that increasingly large genome wide scans will identify many additional novel genetic regions. Subsequent experimental validations have identified the causally related variant(s) in a limited number of these genetic regions. Further biological insight could be obtained through ethnically diverse study populations, larger genetic sequencing studies and development of higher throughput functional experiments. Along with inherited variation, integration of the tumour genome may shed light on the carcinogenic processes in CRC. In addition to summarising the genetic architecture of CRC, this review discusses genetic factors that modify environmental predictors of CRC, as well as examples of how genetic insight has improved clinical surveillance, prevention and treatment strategies. In summary, substantial progress has been made in uncovering the genetic architecture of CRC, and continued research efforts are expected to identify additional genetic risk factors that further our biological understanding of this disease. Subsequently these new insights will lead to improved treatment and prevention of colorectal cancer.",0,0.09084082394838333,0.06787575036287308
"BACKGROUND: China is home to the greatest number of smokers as well as the greatest number of smoking-related deaths. An active and growing market of cigarettes marketed as 'light' or 'low tar' may keep health-concerned smokers from quitting, wrongly believing that such brands are less harmful. OBJECTIVE: This study sought to observe changes in cigarette design characteristics and reported tar, nicotine and carbon monoxide (TNCO) levels in a sample of cigarette brands obtained in seven Chinese cities from 2009 to 2012. METHODS: Cigarettes were purchased and shipped to Roswell Park Cancer Institute, where 91 pairs of packs were selected for physical cigarette design characteristic testing and recording of TNCO values. Data analysis was conducted using SPSS, and was initially characterised using descriptive statistics, correlations and generalised estimating equations to observe changes in brand varieties over time. FINDINGS: Reported TNCO values on packs saw mean tar, nicotine and CO levels decrease from 2009 to 2012 by 7.9%, 4.5% and 6.0%, respectively. Ventilation was the only cigarette design feature that significantly changed over time (p<0.001), with an increase of 31.7%. Significant predictors of tar and CO yield overall were ventilation and per-cigarette tobacco weight, while for nicotine tobacco moisture was also an independent predictor of yield. CONCLUSIONS: The use of ventilation to decrease TNCO emissions is misleading smokers to believe that they are smoking a 'light/low' tar cigarette that is healthier, and is potentially forestalling the quitting behaviours that would begin to reduce the health burden of tobacco in China, and so should be prohibited.",0,0.40561532974243164,-0.2847996652126312
